unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,ADA/USDT,1.3922,1.3933,1.3918,1.3922,71268.96,99230.352604,137
1625003880000,2021-06-29T21:58:00Z,ADA/USDT,1.3929,1.3946,1.392,1.3923,173210.97,241324.171167,301
1625003820000,2021-06-29T21:57:00Z,ADA/USDT,1.3929,1.3944,1.3922,1.393,55280.8,77024.929837,158
1625003760000,2021-06-29T21:56:00Z,ADA/USDT,1.3954,1.3954,1.3927,1.3929,56421.66,78663.161184,145
1625003700000,2021-06-29T21:55:00Z,ADA/USDT,1.3959,1.3965,1.3948,1.3953,47964.26,66937.287395,124
1625003640000,2021-06-29T21:54:00Z,ADA/USDT,1.3963,1.3969,1.3945,1.3958,98833.99,137966.185162,204
1625003580000,2021-06-29T21:53:00Z,ADA/USDT,1.3963,1.397,1.395,1.3962,77182.76,107743.312213,236
1625003520000,2021-06-29T21:52:00Z,ADA/USDT,1.3949,1.3968,1.3944,1.3967,73411.72,102461.507189,204
1625003460000,2021-06-29T21:51:00Z,ADA/USDT,1.3944,1.3963,1.3942,1.3949,142319.72,198517.155688,210
1625003400000,2021-06-29T21:50:00Z,ADA/USDT,1.3956,1.3962,1.393,1.3941,96014.52,133916.550155,242
1625003340000,2021-06-29T21:49:00Z,ADA/USDT,1.3949,1.3959,1.3942,1.3956,176249.23,245877.328713,245
1625003280000,2021-06-29T21:48:00Z,ADA/USDT,1.3943,1.395,1.3936,1.3949,97664.88,136189.691189,214
1625003220000,2021-06-29T21:47:00Z,ADA/USDT,1.3928,1.3946,1.3928,1.3941,81643.84,113800.899239,152
1625003160000,2021-06-29T21:46:00Z,ADA/USDT,1.3923,1.3934,1.392,1.3929,82428.76,114813.262836,153
1625003100000,2021-06-29T21:45:00Z,ADA/USDT,1.3931,1.3936,1.3904,1.3924,95096.36,132353.72429,222
1625003040000,2021-06-29T21:44:00Z,ADA/USDT,1.3911,1.3942,1.3909,1.3928,104136.58,145036.878207,200
1625002980000,2021-06-29T21:43:00Z,ADA/USDT,1.3941,1.3945,1.3884,1.3913,183312.13,255138.516044,372
1625002920000,2021-06-29T21:42:00Z,ADA/USDT,1.394,1.3943,1.3938,1.3943,56442.89,78681.755379,99
1625002860000,2021-06-29T21:41:00Z,ADA/USDT,1.394,1.3942,1.3935,1.394,40124.47,55929.629491,130
1625002800000,2021-06-29T21:40:00Z,ADA/USDT,1.3926,1.394,1.3926,1.3938,73923.34,102996.747841,200
1625002740000,2021-06-29T21:39:00Z,ADA/USDT,1.392,1.3929,1.3919,1.3926,117304.18,163313.243219,182
1625002680000,2021-06-29T21:38:00Z,ADA/USDT,1.3909,1.392,1.3908,1.392,54806.81,76253.896382,189
1625002620000,2021-06-29T21:37:00Z,ADA/USDT,1.3897,1.3908,1.3892,1.3907,101344.44,140874.031477,210
1625002560000,2021-06-29T21:36:00Z,ADA/USDT,1.3876,1.3899,1.3875,1.3898,154832.91,215000.229333,233
1625002500000,2021-06-29T21:35:00Z,ADA/USDT,1.3876,1.3877,1.3875,1.3877,23839.81,33080.227341,58
1625002440000,2021-06-29T21:34:00Z,ADA/USDT,1.3878,1.388,1.3875,1.3877,38260.81,53097.461119,73
1625002380000,2021-06-29T21:33:00Z,ADA/USDT,1.388,1.388,1.3873,1.3878,58360.47,80983.858343,161
1625002320000,2021-06-29T21:32:00Z,ADA/USDT,1.3875,1.3881,1.3874,1.3881,15878.87,22033.876335,65
1625002260000,2021-06-29T21:31:00Z,ADA/USDT,1.3868,1.3878,1.3867,1.3875,61315.67,85049.533019,149
1625002200000,2021-06-29T21:30:00Z,ADA/USDT,1.3881,1.3882,1.3866,1.3867,44284.3,61445.993718,131
1625002140000,2021-06-29T21:29:00Z,ADA/USDT,1.3885,1.3889,1.3879,1.3883,54191.98,75241.565562,145
1625002080000,2021-06-29T21:28:00Z,ADA/USDT,1.389,1.389,1.3884,1.3885,31464.08,43693.886751,95
1625002020000,2021-06-29T21:27:00Z,ADA/USDT,1.3891,1.3893,1.3888,1.3889,29328.56,40738.862516,93
1625001960000,2021-06-29T21:26:00Z,ADA/USDT,1.3882,1.3891,1.388,1.389,50491.41,70114.59786,120
1625001900000,2021-06-29T21:25:00Z,ADA/USDT,1.3888,1.3888,1.3849,1.3882,280825.63,389598.427379,338
1625001840000,2021-06-29T21:24:00Z,ADA/USDT,1.3884,1.3889,1.3883,1.3888,29984.34,41635.48161,109
1625001780000,2021-06-29T21:23:00Z,ADA/USDT,1.3877,1.3884,1.3875,1.3883,30750.74,42676.404805,119
1625001720000,2021-06-29T21:22:00Z,ADA/USDT,1.3871,1.3877,1.3867,1.3876,89151.14,123661.089664,163
1625001660000,2021-06-29T21:21:00Z,ADA/USDT,1.3853,1.3873,1.385,1.3869,57783.63,80101.74078,208
1625001600000,2021-06-29T21:20:00Z,ADA/USDT,1.3836,1.3853,1.383,1.3853,143445.31,198567.526613,205
1625001540000,2021-06-29T21:19:00Z,ADA/USDT,1.3833,1.3836,1.3832,1.3836,24889.84,34430.882428,96
1625001480000,2021-06-29T21:18:00Z,ADA/USDT,1.3832,1.3837,1.383,1.3834,49624.7,68647.040887,100
1625001420000,2021-06-29T21:17:00Z,ADA/USDT,1.3833,1.3833,1.383,1.383,19320.58,26721.833072,64
1625001360000,2021-06-29T21:16:00Z,ADA/USDT,1.3824,1.3833,1.382,1.3832,81865.32,113180.462321,137
1625001300000,2021-06-29T21:15:00Z,ADA/USDT,1.3815,1.3833,1.3793,1.3821,644538.76,889970.31789,525
1625001240000,2021-06-29T21:14:00Z,ADA/USDT,1.3818,1.3819,1.3815,1.3816,70259.84,97067.301164,156
1625001180000,2021-06-29T21:13:00Z,ADA/USDT,1.3827,1.3827,1.3816,1.3819,31773.79,43909.943521,113
1625001120000,2021-06-29T21:12:00Z,ADA/USDT,1.3836,1.384,1.3822,1.3826,63906.41,88369.125138,132
1625001060000,2021-06-29T21:11:00Z,ADA/USDT,1.384,1.3842,1.3822,1.3834,52216.79,72221.8896,148
1625001000000,2021-06-29T21:10:00Z,ADA/USDT,1.382,1.3842,1.3817,1.384,60244.79,83275.928391,160
1625000940000,2021-06-29T21:09:00Z,ADA/USDT,1.3833,1.3833,1.3818,1.3821,50071.47,69227.030033,153
1625000880000,2021-06-29T21:08:00Z,ADA/USDT,1.3846,1.3847,1.3832,1.3832,52737.23,72987.487006,145
1625000820000,2021-06-29T21:07:00Z,ADA/USDT,1.3837,1.3847,1.3833,1.3846,52257.14,72324.251975,164
1625000760000,2021-06-29T21:06:00Z,ADA/USDT,1.3832,1.3838,1.3827,1.3836,46969.08,64968.92506,159
1625000700000,2021-06-29T21:05:00Z,ADA/USDT,1.382,1.3839,1.3819,1.3833,74544.01,103081.975843,213
1625000640000,2021-06-29T21:04:00Z,ADA/USDT,1.383,1.3834,1.382,1.3821,74675.37,103219.052996,175
1625000580000,2021-06-29T21:03:00Z,ADA/USDT,1.3813,1.3836,1.3812,1.3831,130674.43,180635.856102,227
1625000520000,2021-06-29T21:02:00Z,ADA/USDT,1.3801,1.3818,1.3801,1.3814,91837.52,126822.245772,174
1625000460000,2021-06-29T21:01:00Z,ADA/USDT,1.3793,1.3813,1.379,1.3801,108774.08,150146.688181,280
1625000400000,2021-06-29T21:00:00Z,ADA/USDT,1.3797,1.3825,1.3791,1.3793,118383.6,163479.121466,360
1625000340000,2021-06-29T20:59:00Z,ADA/USDT,1.3794,1.3807,1.3783,1.3798,252896.42,348852.944556,331
1625000280000,2021-06-29T20:58:00Z,ADA/USDT,1.3789,1.3798,1.3783,1.3794,414029.12,571090.005614,376
1625000220000,2021-06-29T20:57:00Z,ADA/USDT,1.3796,1.38,1.3784,1.3789,105174.7,145048.772453,268
1625000160000,2021-06-29T20:56:00Z,ADA/USDT,1.3804,1.3814,1.379,1.3796,76794.45,105960.90017,257
1625000100000,2021-06-29T20:55:00Z,ADA/USDT,1.381,1.3821,1.3792,1.3803,180386.94,249050.819458,361
1625000040000,2021-06-29T20:54:00Z,ADA/USDT,1.3804,1.3835,1.3801,1.381,142426.66,196759.749951,316
1624999980000,2021-06-29T20:53:00Z,ADA/USDT,1.381,1.3813,1.3794,1.3804,357546.52,493499.616696,522
1624999920000,2021-06-29T20:52:00Z,ADA/USDT,1.3823,1.3823,1.3808,1.381,146559.95,202467.476402,335
1624999860000,2021-06-29T20:51:00Z,ADA/USDT,1.383,1.3831,1.3822,1.3823,67926.39,93926.377749,126
1624999800000,2021-06-29T20:50:00Z,ADA/USDT,1.3838,1.3838,1.3824,1.3831,32938.38,45550.798207,127
1624999740000,2021-06-29T20:49:00Z,ADA/USDT,1.3834,1.3845,1.3833,1.3838,35907.51,49685.592063,113
1624999680000,2021-06-29T20:48:00Z,ADA/USDT,1.3836,1.3849,1.3825,1.3833,140562.98,194456.5263,302
1624999620000,2021-06-29T20:47:00Z,ADA/USDT,1.3842,1.386,1.3835,1.3837,100090.56,138550.001968,268
1624999560000,2021-06-29T20:46:00Z,ADA/USDT,1.3849,1.3874,1.3841,1.3842,306744.3,425033.148,344
1624999500000,2021-06-29T20:45:00Z,ADA/USDT,1.3872,1.3873,1.3845,1.3848,150010.2,207859.799664,389
1624999440000,2021-06-29T20:44:00Z,ADA/USDT,1.3875,1.388,1.3866,1.3871,70333.99,97569.72651,167
1624999380000,2021-06-29T20:43:00Z,ADA/USDT,1.3875,1.3888,1.387,1.3875,134693.27,186920.227444,188
1624999320000,2021-06-29T20:42:00Z,ADA/USDT,1.3874,1.3888,1.3871,1.3875,60693.96,84229.707977,174
1624999260000,2021-06-29T20:41:00Z,ADA/USDT,1.3901,1.3901,1.387,1.3873,120748.98,167698.422754,275
1624999200000,2021-06-29T20:40:00Z,ADA/USDT,1.3909,1.3909,1.3898,1.3899,31590.38,43911.857496,141
1624999140000,2021-06-29T20:39:00Z,ADA/USDT,1.3904,1.3908,1.3898,1.3907,25667.97,35689.179252,105
1624999080000,2021-06-29T20:38:00Z,ADA/USDT,1.3902,1.3913,1.3898,1.3904,215445.11,299545.377334,229
1624999020000,2021-06-29T20:37:00Z,ADA/USDT,1.3914,1.3914,1.3899,1.3903,87962.08,122304.145033,204
1624998960000,2021-06-29T20:36:00Z,ADA/USDT,1.3915,1.3924,1.3908,1.3915,106270.67,147884.636645,168
1624998900000,2021-06-29T20:35:00Z,ADA/USDT,1.3907,1.392,1.3907,1.3916,38175.19,53104.831186,96
1624998840000,2021-06-29T20:34:00Z,ADA/USDT,1.3919,1.3919,1.3905,1.3908,54853.05,76312.047114,151
1624998780000,2021-06-29T20:33:00Z,ADA/USDT,1.3918,1.3932,1.3916,1.3918,75889.19,105663.811054,155
1624998720000,2021-06-29T20:32:00Z,ADA/USDT,1.3942,1.3945,1.3917,1.3917,32020.73,44602.391362,137
1624998660000,2021-06-29T20:31:00Z,ADA/USDT,1.3959,1.397,1.3938,1.3941,62168.46,86770.629573,151
1624998600000,2021-06-29T20:30:00Z,ADA/USDT,1.3932,1.3972,1.3929,1.3957,82990.67,115796.494984,242
1624998540000,2021-06-29T20:29:00Z,ADA/USDT,1.3921,1.3933,1.3913,1.3931,163528.76,227690.696359,210
1624998480000,2021-06-29T20:28:00Z,ADA/USDT,1.3931,1.3936,1.392,1.3922,39202.77,54600.133193,145
1624998420000,2021-06-29T20:27:00Z,ADA/USDT,1.3939,1.3949,1.3931,1.3934,63322.5,88277.87394,138
1624998360000,2021-06-29T20:26:00Z,ADA/USDT,1.3943,1.3943,1.3931,1.394,52672.5,73402.034163,133
1624998300000,2021-06-29T20:25:00Z,ADA/USDT,1.3954,1.3954,1.394,1.3944,94744.77,132167.769978,210
1624998240000,2021-06-29T20:24:00Z,ADA/USDT,1.3954,1.3958,1.395,1.3952,60813.4,84850.141736,157
1624998180000,2021-06-29T20:23:00Z,ADA/USDT,1.396,1.3963,1.3955,1.3955,18877.49,26350.055255,99
1624998120000,2021-06-29T20:22:00Z,ADA/USDT,1.3957,1.3964,1.3955,1.3959,61490.94,85843.057753,139
1624998060000,2021-06-29T20:21:00Z,ADA/USDT,1.3968,1.3969,1.3953,1.3956,80114.87,111843.683798,205
1624998000000,2021-06-29T20:20:00Z,ADA/USDT,1.3973,1.3974,1.3966,1.3968,36365.41,50802.551843,124
1624997940000,2021-06-29T20:19:00Z,ADA/USDT,1.3968,1.3976,1.3963,1.3973,48707.32,68042.521622,146
1624997880000,2021-06-29T20:18:00Z,ADA/USDT,1.3968,1.3976,1.3966,1.3969,60489.59,84499.631615,169
1624997820000,2021-06-29T20:17:00Z,ADA/USDT,1.3957,1.3976,1.3957,1.3969,74862.43,104574.440362,236
1624997760000,2021-06-29T20:16:00Z,ADA/USDT,1.3993,1.3993,1.395,1.3952,215762.18,301430.97171,420
1624997700000,2021-06-29T20:15:00Z,ADA/USDT,1.3973,1.3995,1.397,1.399,72420.42,101259.329567,272
1624997640000,2021-06-29T20:14:00Z,ADA/USDT,1.399,1.3999,1.3975,1.3975,256008.3,358024.066173,309
1624997580000,2021-06-29T20:13:00Z,ADA/USDT,1.3989,1.399,1.3981,1.399,125115.52,174975.588048,259
1624997520000,2021-06-29T20:12:00Z,ADA/USDT,1.3936,1.3999,1.3936,1.399,704826.84,985259.722944,1166
1624997460000,2021-06-29T20:11:00Z,ADA/USDT,1.3938,1.394,1.3931,1.3934,53242.54,74198.994526,157
1624997400000,2021-06-29T20:10:00Z,ADA/USDT,1.3942,1.3943,1.393,1.3939,79815.88,111242.418059,214
1624997340000,2021-06-29T20:09:00Z,ADA/USDT,1.3938,1.3946,1.3924,1.3942,121504.59,169312.348739,301
1624997280000,2021-06-29T20:08:00Z,ADA/USDT,1.3916,1.3945,1.3914,1.3937,126494.45,176193.199766,342
1624997220000,2021-06-29T20:07:00Z,ADA/USDT,1.3909,1.3928,1.3906,1.3917,203776.32,283658.934051,336
1624997160000,2021-06-29T20:06:00Z,ADA/USDT,1.3904,1.3914,1.3904,1.3912,129593.82,180244.965303,272
1624997100000,2021-06-29T20:05:00Z,ADA/USDT,1.3896,1.3905,1.3893,1.3904,57476.72,79885.612653,180
1624997040000,2021-06-29T20:04:00Z,ADA/USDT,1.3909,1.391,1.3891,1.3895,135187.21,187933.518784,218
1624996980000,2021-06-29T20:03:00Z,ADA/USDT,1.3872,1.391,1.3863,1.3909,108747.41,151066.018509,330
1624996920000,2021-06-29T20:02:00Z,ADA/USDT,1.3872,1.3874,1.3852,1.3873,133880.05,185528.669288,236
1624996860000,2021-06-29T20:01:00Z,ADA/USDT,1.3892,1.3893,1.3865,1.3873,93367.66,129602.987821,227
1624996800000,2021-06-29T20:00:00Z,ADA/USDT,1.389,1.3899,1.389,1.3893,74310.64,103261.108998,166
1624996740000,2021-06-29T19:59:00Z,ADA/USDT,1.3892,1.3898,1.3885,1.389,59543.08,82719.73024,210
1624996680000,2021-06-29T19:58:00Z,ADA/USDT,1.3881,1.3894,1.388,1.3892,54232.42,75316.799905,243
1624996620000,2021-06-29T19:57:00Z,ADA/USDT,1.3878,1.3882,1.387,1.388,86770.94,120425.513083,145
1624996560000,2021-06-29T19:56:00Z,ADA/USDT,1.3874,1.388,1.3866,1.3877,99417.34,137924.328213,167
1624996500000,2021-06-29T19:55:00Z,ADA/USDT,1.3872,1.3878,1.386,1.3874,125896.49,174626.233018,265
1624996440000,2021-06-29T19:54:00Z,ADA/USDT,1.3851,1.3875,1.3851,1.3875,82291.37,114115.215384,260
1624996380000,2021-06-29T19:53:00Z,ADA/USDT,1.384,1.3859,1.3839,1.385,54743.48,75822.188287,135
1624996320000,2021-06-29T19:52:00Z,ADA/USDT,1.3859,1.3863,1.3839,1.3839,45306.73,62752.488735,159
1624996260000,2021-06-29T19:51:00Z,ADA/USDT,1.3845,1.386,1.3831,1.3858,77042.19,106712.52563,198
1624996200000,2021-06-29T19:50:00Z,ADA/USDT,1.384,1.3848,1.3823,1.3845,55577.61,76896.216517,182
1624996140000,2021-06-29T19:49:00Z,ADA/USDT,1.3832,1.3853,1.3832,1.384,33454.24,46318.08355,126
1624996080000,2021-06-29T19:48:00Z,ADA/USDT,1.3805,1.3836,1.3804,1.3832,90750.11,125442.047965,207
1624996020000,2021-06-29T19:47:00Z,ADA/USDT,1.3796,1.3811,1.3796,1.3806,56721.74,78292.262401,156
1624995960000,2021-06-29T19:46:00Z,ADA/USDT,1.3801,1.3802,1.3795,1.3796,32194.26,44423.595815,111
1624995900000,2021-06-29T19:45:00Z,ADA/USDT,1.38,1.381,1.3797,1.38,84462.99,116588.553425,178
1624995840000,2021-06-29T19:44:00Z,ADA/USDT,1.3815,1.3815,1.3794,1.3797,254968.77,351892.065994,323
1624995780000,2021-06-29T19:43:00Z,ADA/USDT,1.382,1.3823,1.3812,1.3815,43981.8,60768.386073,138
1624995720000,2021-06-29T19:42:00Z,ADA/USDT,1.3821,1.3829,1.382,1.3821,19096.37,26396.04855,107
1624995660000,2021-06-29T19:41:00Z,ADA/USDT,1.3837,1.3839,1.382,1.3821,20831.65,28812.036475,92
