unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,BNB/USDT,306.73,307,306.71,306.83,111.2816,34148.481184,155
1625003880000,2021-06-29T21:58:00Z,BNB/USDT,306.92,307.23,306.73,306.77,341.4237,104779.05559,268
1625003820000,2021-06-29T21:57:00Z,BNB/USDT,306.87,307.2,306.8,306.92,894.0724,274474.755315,313
1625003760000,2021-06-29T21:56:00Z,BNB/USDT,307.39,307.4,306.81,306.81,857.2125,263220.130927,413
1625003700000,2021-06-29T21:55:00Z,BNB/USDT,307.6,307.73,307.35,307.39,406.5387,124994.323641,229
1625003640000,2021-06-29T21:54:00Z,BNB/USDT,307.67,307.99,307.3,307.64,1104.8415,339938.655399,571
1625003580000,2021-06-29T21:53:00Z,BNB/USDT,307.37,307.75,307.21,307.7,1341.7566,412568.637469,536
1625003520000,2021-06-29T21:52:00Z,BNB/USDT,307.01,307.41,307,307.36,856.2841,263060.353656,376
1625003460000,2021-06-29T21:51:00Z,BNB/USDT,306.91,307.12,306.88,307.01,462.7897,142078.971939,246
1625003400000,2021-06-29T21:50:00Z,BNB/USDT,306.89,307.13,306.55,306.88,1095.0356,336097.028291,537
1625003340000,2021-06-29T21:49:00Z,BNB/USDT,306.72,306.9,306.49,306.9,533.4229,163583.938032,228
1625003280000,2021-06-29T21:48:00Z,BNB/USDT,306.55,306.78,306.5,306.74,743.6406,227999.917294,284
1625003220000,2021-06-29T21:47:00Z,BNB/USDT,306.5,306.82,306.5,306.55,1563.4675,479314.359133,228
1625003160000,2021-06-29T21:46:00Z,BNB/USDT,306.41,306.77,306.39,306.54,744.503,228245.946782,256
1625003100000,2021-06-29T21:45:00Z,BNB/USDT,306.54,306.84,305.95,306.49,820.8625,251532.422534,451
1625003040000,2021-06-29T21:44:00Z,BNB/USDT,306.28,306.65,306.15,306.5,311.4597,95437.756015,271
1625002980000,2021-06-29T21:43:00Z,BNB/USDT,306.31,306.63,305.28,306.23,2141.5212,655285.276488,762
1625002920000,2021-06-29T21:42:00Z,BNB/USDT,306.05,306.36,306.05,306.3,426.6123,130631.227757,296
1625002860000,2021-06-29T21:41:00Z,BNB/USDT,305.9,306.06,305.87,306.06,914.1115,279667.042867,432
1625002800000,2021-06-29T21:40:00Z,BNB/USDT,305.9,305.91,305.76,305.88,607.6135,185845.589594,297
1625002740000,2021-06-29T21:39:00Z,BNB/USDT,305.79,305.91,305.7,305.89,349.4797,106871.073845,277
1625002680000,2021-06-29T21:38:00Z,BNB/USDT,305.86,305.88,305.71,305.79,213.7417,65360.988724,280
1625002620000,2021-06-29T21:37:00Z,BNB/USDT,305.59,305.89,305.59,305.85,243.9637,74605.293482,242
1625002560000,2021-06-29T21:36:00Z,BNB/USDT,305.5,305.62,305.22,305.61,999.9043,305320.840592,422
1625002500000,2021-06-29T21:35:00Z,BNB/USDT,305.88,305.96,305.44,305.48,585.658,179068.816994,508
1625002440000,2021-06-29T21:34:00Z,BNB/USDT,305.84,305.93,305.7,305.87,749.0807,229096.002836,762
1625002380000,2021-06-29T21:33:00Z,BNB/USDT,305.22,305.9,305.22,305.85,2599.9024,794699.689536,1868
1625002320000,2021-06-29T21:32:00Z,BNB/USDT,305.2,305.29,305.1,305.25,152.1781,46444.248651,172
1625002260000,2021-06-29T21:31:00Z,BNB/USDT,304.7,305.3,304.68,305.22,1447.6299,441634.732712,302
1625002200000,2021-06-29T21:30:00Z,BNB/USDT,304.96,304.96,304.7,304.71,176.3886,53760.67097,230
1625002140000,2021-06-29T21:29:00Z,BNB/USDT,305.17,305.27,304.98,304.98,964.171,294153.645205,261
1625002080000,2021-06-29T21:28:00Z,BNB/USDT,305.2,305.29,305.17,305.17,242.6242,74054.13062,254
1625002020000,2021-06-29T21:27:00Z,BNB/USDT,305.25,305.28,305.14,305.22,219.8537,67102.127981,252
1625001960000,2021-06-29T21:26:00Z,BNB/USDT,304.84,305.28,304.83,305.25,246.7796,75282.908616,217
1625001900000,2021-06-29T21:25:00Z,BNB/USDT,305.07,305.12,304.29,304.82,1215.9737,370490.172499,492
1625001840000,2021-06-29T21:24:00Z,BNB/USDT,305.33,305.45,305.05,305.07,652.9777,199319.635131,332
1625001780000,2021-06-29T21:23:00Z,BNB/USDT,305.27,305.49,305.08,305.34,595.5589,181808.150899,417
1625001720000,2021-06-29T21:22:00Z,BNB/USDT,305,305.38,304.99,305.27,635.3556,193905.864435,436
1625001660000,2021-06-29T21:21:00Z,BNB/USDT,304.68,305.17,304.58,305,841.5141,256551.805416,503
1625001600000,2021-06-29T21:20:00Z,BNB/USDT,304.07,304.71,304.02,304.69,1268.4972,386138.474876,413
1625001540000,2021-06-29T21:19:00Z,BNB/USDT,304.03,304.19,303.94,304.07,259.3754,78855.407097,193
1625001480000,2021-06-29T21:18:00Z,BNB/USDT,303.98,304.13,303.96,304.03,486.9035,148023.704842,253
1625001420000,2021-06-29T21:17:00Z,BNB/USDT,304.1,304.41,303.98,303.99,1073.7197,326581.039488,425
1625001360000,2021-06-29T21:16:00Z,BNB/USDT,303.61,304.13,303.59,304.09,687.129,208822.265583,269
1625001300000,2021-06-29T21:15:00Z,BNB/USDT,302.95,303.78,302.76,303.62,1241.3303,376503.14647,478
1625001240000,2021-06-29T21:14:00Z,BNB/USDT,303.23,303.24,302.92,302.95,628.2142,190393.728191,265
1625001180000,2021-06-29T21:13:00Z,BNB/USDT,303.51,303.53,303.15,303.23,855.8252,259574.606116,292
