unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,BTC/USDT,36240.51,36250,36228,36240.01,10.557016,382610.56073827,352
1625003880000,2021-06-29T21:58:00Z,BTC/USDT,36256.06,36271.91,36228.34,36240.5,42.401302,1536839.52789466,590
1625003820000,2021-06-29T21:57:00Z,BTC/USDT,36250.93,36278.16,36250.93,36255.87,13.978289,506895.50430809,420
1625003760000,2021-06-29T21:56:00Z,BTC/USDT,36292.18,36292.32,36250.93,36250.94,18.923753,686453.4337669,415
1625003700000,2021-06-29T21:55:00Z,BTC/USDT,36279.42,36300,36270,36292.18,38.312544,1390375.43012025,445
1625003640000,2021-06-29T21:54:00Z,BTC/USDT,36289.4,36323.76,36260.28,36279.41,79.823396,2897510.39419275,788
1625003580000,2021-06-29T21:53:00Z,BTC/USDT,36290.51,36309,36275.88,36289.4,37.422548,1358317.30496924,706
1625003520000,2021-06-29T21:52:00Z,BTC/USDT,36289.09,36300,36277.67,36290.52,12.057414,437570.67561044,426
1625003460000,2021-06-29T21:51:00Z,BTC/USDT,36270,36300,36268.77,36289.07,11.749978,426374.76634227,403
1625003400000,2021-06-29T21:50:00Z,BTC/USDT,36280,36289.99,36260,36270,16.242596,589270.51901943,533
1625003340000,2021-06-29T21:49:00Z,BTC/USDT,36271.61,36280,36229.99,36280,31.66644,1148035.83127275,630
1625003280000,2021-06-29T21:48:00Z,BTC/USDT,36238.52,36275,36238.51,36271.61,25.105931000000002,910165.79979898,551
1625003220000,2021-06-29T21:47:00Z,BTC/USDT,36254.87,36275,36232.26,36238.51,20.879566,756927.22645686,694
1625003160000,2021-06-29T21:46:00Z,BTC/USDT,36256.03,36286.84,36254.87,36254.88,64.570561,2341540.31418646,670
1625003100000,2021-06-29T21:45:00Z,BTC/USDT,36263.77,36299.15,36229.51,36260.03,35.84932,1300193.85159704,1009
1625003040000,2021-06-29T21:44:00Z,BTC/USDT,36231.96,36270.67,36226.73,36261.84,16.280591,590092.81681599,640
1625002980000,2021-06-29T21:43:00Z,BTC/USDT,36249.99,36273.08,36192.93,36231.83,65.119492,2360012.74099939,1533
1625002920000,2021-06-29T21:42:00Z,BTC/USDT,36247.48,36250,36235.12,36250,22.133009,802183.69487818,523
1625002860000,2021-06-29T21:41:00Z,BTC/USDT,36248.97,36250.5,36231.21,36247.49,31.347,1136156.27908819,787
1625002800000,2021-06-29T21:40:00Z,BTC/USDT,36210.01,36250,36205,36248.96,26.080986,944743.43868035,658
1625002740000,2021-06-29T21:39:00Z,BTC/USDT,36209.11,36219.93,36194.7,36210,44.327761,1605129.50192366,573
1625002680000,2021-06-29T21:38:00Z,BTC/USDT,36200.02,36215.49,36200.02,36209.1,35.647969,1290767.21676637,658
1625002620000,2021-06-29T21:37:00Z,BTC/USDT,36197.02,36209.77,36197.02,36200.02,32.218051,1166328.25371349,694
1625002560000,2021-06-29T21:36:00Z,BTC/USDT,36160.72,36205.03,36160,36197.02,35.812094,1295808.26655627,958
