unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,DOT/USDT,16.507,16.522,16.486,16.498,3895.426,64281.891159,123
1625003880000,2021-06-29T21:58:00Z,DOT/USDT,16.508,16.524,16.475,16.511,7313.808,120681.280454,195
1625003820000,2021-06-29T21:57:00Z,DOT/USDT,16.5,16.535,16.498,16.512,6758.418,111562.046701,117
1625003760000,2021-06-29T21:56:00Z,DOT/USDT,16.529,16.529,16.5,16.503,7535.376,124479.2043,169
1625003700000,2021-06-29T21:55:00Z,DOT/USDT,16.532,16.539,16.515,16.53,3737.721,61767.967338,87
1625003640000,2021-06-29T21:54:00Z,DOT/USDT,16.524,16.544,16.518,16.532,2340.441,38687.340506,88
1625003580000,2021-06-29T21:53:00Z,DOT/USDT,16.532,16.544,16.52,16.521,2579.281,42630.80939,126
1625003520000,2021-06-29T21:52:00Z,DOT/USDT,16.518,16.543,16.512,16.531,17048.363,281878.303386,241
1625003460000,2021-06-29T21:51:00Z,DOT/USDT,16.493,16.523,16.493,16.518,3681.358,60796.335649,151
1625003400000,2021-06-29T21:50:00Z,DOT/USDT,16.487,16.516,16.453,16.49,7392.661,121917.557682,293
1625003340000,2021-06-29T21:49:00Z,DOT/USDT,16.466,16.49,16.451,16.484,12793.728,210795.798458,251
1625003280000,2021-06-29T21:48:00Z,DOT/USDT,16.44,16.465,16.439,16.465,2710.32,44587.665786,114
1625003220000,2021-06-29T21:47:00Z,DOT/USDT,16.434,16.451,16.433,16.438,1787.355,29381.81001,76
1625003160000,2021-06-29T21:46:00Z,DOT/USDT,16.423,16.45,16.421,16.434,4916.328,80820.153794,136
1625003100000,2021-06-29T21:45:00Z,DOT/USDT,16.435,16.451,16.391,16.418,10549.983,173299.383342,217
1625003040000,2021-06-29T21:44:00Z,DOT/USDT,16.428,16.446,16.403,16.435,5644.752,92697.938271,187
1625002980000,2021-06-29T21:43:00Z,DOT/USDT,16.439,16.448,16.351,16.429,10107.172,165773.193557,330
1625002920000,2021-06-29T21:42:00Z,DOT/USDT,16.448,16.455,16.434,16.439,6032.084,99200.012723,125
1625002860000,2021-06-29T21:41:00Z,DOT/USDT,16.428,16.459,16.428,16.449,4002.434,65820.492346,193
1625002800000,2021-06-29T21:40:00Z,DOT/USDT,16.415,16.43,16.413,16.428,1133.263,18606.728567,86
1625002740000,2021-06-29T21:39:00Z,DOT/USDT,16.415,16.426,16.407,16.414,5516.751,90550.957466,131
1625002680000,2021-06-29T21:38:00Z,DOT/USDT,16.41,16.418,16.408,16.415,3288.726,53979.183261,133
1625002620000,2021-06-29T21:37:00Z,DOT/USDT,16.37,16.411,16.367,16.411,10212.489,167426.614139,217
1625002560000,2021-06-29T21:36:00Z,DOT/USDT,16.32,16.37,16.316,16.37,4842.238,79092.728443,133
1625002500000,2021-06-29T21:35:00Z,DOT/USDT,16.318,16.323,16.315,16.32,2041.466,33314.631295,106
1625002440000,2021-06-29T21:34:00Z,DOT/USDT,16.317,16.319,16.309,16.318,4448.074,72548.346963,105
1625002380000,2021-06-29T21:33:00Z,DOT/USDT,16.32,16.323,16.314,16.317,2271.884,37071.132107,103
1625002320000,2021-06-29T21:32:00Z,DOT/USDT,16.325,16.328,16.31,16.318,5948.069,97055.935583,151
1625002260000,2021-06-29T21:31:00Z,DOT/USDT,16.328,16.33,16.321,16.325,994.538,16236.317016,63
1625002200000,2021-06-29T21:30:00Z,DOT/USDT,16.333,16.338,16.326,16.329,1106.039,18061.877003,78
1625002140000,2021-06-29T21:29:00Z,DOT/USDT,16.342,16.352,16.331,16.331,4199.079,68629.311311,131
1625002080000,2021-06-29T21:28:00Z,DOT/USDT,16.363,16.366,16.336,16.344,4845.163,79222.675043,155
1625002020000,2021-06-29T21:27:00Z,DOT/USDT,16.359,16.378,16.352,16.362,8454.144,138352.779934,251
1625001960000,2021-06-29T21:26:00Z,DOT/USDT,16.337,16.36,16.329,16.36,1940.735,31715.617671,101
1625001900000,2021-06-29T21:25:00Z,DOT/USDT,16.354,16.357,16.299,16.337,10992.505,179448.615093,292
