unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,ETH/USDT,2213.99,2216.52,2213.5,2214.13,132.01206,292397.4593894,464
1625003880000,2021-06-29T21:58:00Z,ETH/USDT,2215.06,2216.54,2213.14,2214,161.01463,356569.7313249,686
1625003820000,2021-06-29T21:57:00Z,ETH/USDT,2213.35,2216.43,2213.35,2215.06,172.50697,382105.7900637,800
1625003760000,2021-06-29T21:56:00Z,ETH/USDT,2217.23,2217.23,2213.35,2213.35,236.37441,523642.6485455,827
1625003700000,2021-06-29T21:55:00Z,ETH/USDT,2217.52,2218.46,2215.57,2217.22,126.96439,281479.1353677,803
1625003640000,2021-06-29T21:54:00Z,ETH/USDT,2217.46,2219.25,2215.33,2217.46,287.66187,637987.215286,1076
1625003580000,2021-06-29T21:53:00Z,ETH/USDT,2216.63,2218.49,2215.17,2217.43,225.55736,500105.0845567,1044
1625003520000,2021-06-29T21:52:00Z,ETH/USDT,2215.29,2218.5,2215.18,2216.63,637.95682,1414887.9641585,1031
1625003460000,2021-06-29T21:51:00Z,ETH/USDT,2214.33,2216.95,2214.15,2215.3,169.60342,375741.3709606,859
1625003400000,2021-06-29T21:50:00Z,ETH/USDT,2215.61,2218.36,2211.81,2214.2,537.85938,1191576.356765,1372
1625003340000,2021-06-29T21:49:00Z,ETH/USDT,2214.33,2215.62,2212.68,2215.62,305.79304,677171.9319178,1172
1625003280000,2021-06-29T21:48:00Z,ETH/USDT,2212.64,2214.33,2211.04,2214.33,342.54128,757857.8595426,944
1625003220000,2021-06-29T21:47:00Z,ETH/USDT,2210.01,2214.31,2210,2212.82,223.26445,493949.0324825,1286
1625003160000,2021-06-29T21:46:00Z,ETH/USDT,2209.05,2214.05,2209.05,2210.01,328.14741,725586.2701808,1069
1625003100000,2021-06-29T21:45:00Z,ETH/USDT,2210.73,2213.05,2206.29,2209.05,491.84426,1087102.0808578,1219
1625003040000,2021-06-29T21:44:00Z,ETH/USDT,2208.57,2212.82,2206.63,2210.73,402.5097,889755.4399899,1509
1625002980000,2021-06-29T21:43:00Z,ETH/USDT,2208.47,2211.79,2205.03,2208.73,291.61905,644151.9339563,1300
