unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,LTC/USDT,146.37,146.47,146.32,146.34,187.60503,27464.8869192,55
1625003880000,2021-06-29T21:58:00Z,LTC/USDT,146.4,146.5,146.31,146.4,365.04745,53449.0008363,141
1625003820000,2021-06-29T21:57:00Z,LTC/USDT,146.06,146.45,146.06,146.45,331.99825,48562.6936183,163
1625003760000,2021-06-29T21:56:00Z,LTC/USDT,146.37,146.39,146.05,146.05,567.3197,82951.7919742,116
1625003700000,2021-06-29T21:55:00Z,LTC/USDT,146.42,146.42,146.32,146.32,109.45767,16021.6008975,67
1625003640000,2021-06-29T21:54:00Z,LTC/USDT,146.37,146.45,146.22,146.4,335.02613,49039.2433477,100
1625003580000,2021-06-29T21:53:00Z,LTC/USDT,146.25,146.41,146.22,146.3,584.14077,85480.1102788,131
1625003520000,2021-06-29T21:52:00Z,LTC/USDT,146.25,146.3,146.16,146.29,527.65039,77172.5192205,122
1625003460000,2021-06-29T21:51:00Z,LTC/USDT,146.08,146.28,146.08,146.26,70.61944,10325.8638228,53
1625003400000,2021-06-29T21:50:00Z,LTC/USDT,146.2,146.23,145.94,146.1,402.50238,58796.5203126,101
1625003340000,2021-06-29T21:49:00Z,LTC/USDT,146.1,146.2,145.98,146.2,172.64929,25219.9562907,84
1625003280000,2021-06-29T21:48:00Z,LTC/USDT,146.06,146.11,145.94,146.06,528.80684,77223.5782094,108
1625003220000,2021-06-29T21:47:00Z,LTC/USDT,145.96,146.16,145.96,146.06,120.02347,17529.5864537,72
1625003160000,2021-06-29T21:46:00Z,LTC/USDT,146,146.14,145.96,146.02,147.95521,21607.8060722,71
1625003100000,2021-06-29T21:45:00Z,LTC/USDT,146.15,146.2,145.76,146,478.04049,69763.5005114,140
1625003040000,2021-06-29T21:44:00Z,LTC/USDT,145.85,146.28,145.85,146.14,573.00436,83720.0867642,166
1625002980000,2021-06-29T21:43:00Z,LTC/USDT,146.07,146.07,145.43,145.89,703.55607,102521.6043309,215
1625002920000,2021-06-29T21:42:00Z,LTC/USDT,146.14,146.15,146.06,146.07,61.93627,9049.3279941,49
1625002860000,2021-06-29T21:41:00Z,LTC/USDT,146.04,146.18,146.03,146.14,306.95199,44850.0106509,166
1625002800000,2021-06-29T21:40:00Z,LTC/USDT,145.76,146.03,145.72,146.01,399.99611,58374.3842838,200
1625002740000,2021-06-29T21:39:00Z,LTC/USDT,145.69,145.77,145.64,145.76,245.52464,35777.403893,109
1625002680000,2021-06-29T21:38:00Z,LTC/USDT,145.62,145.7,145.6,145.69,515.25957,75042.901684,171
1625002620000,2021-06-29T21:37:00Z,LTC/USDT,145.18,145.6,145.15,145.59,484.50544,70472.450271,242
