unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,SOL/USDT,34.763,34.769,34.737,34.743,286.581,9961.128491,52
1625003880000,2021-06-29T21:58:00Z,SOL/USDT,34.765,34.8,34.747,34.772,654.436,22756.87134,60
1625003820000,2021-06-29T21:57:00Z,SOL/USDT,34.725,34.786,34.725,34.78,1354.36,47066.955183,68
1625003760000,2021-06-29T21:56:00Z,SOL/USDT,34.803,34.812,34.726,34.726,1459.631,50727.461396,69
1625003700000,2021-06-29T21:55:00Z,SOL/USDT,34.679,34.826,34.678,34.809,3296.892,114650.362905,253
1625003640000,2021-06-29T21:54:00Z,SOL/USDT,34.728,34.744,34.638,34.689,2431.308,84374.854403,133
1625003580000,2021-06-29T21:53:00Z,SOL/USDT,34.742,34.745,34.7,34.73,1239.884,43066.743002,75
1625003520000,2021-06-29T21:52:00Z,SOL/USDT,34.732,34.742,34.697,34.74,658.807,22874.485765,82
1625003460000,2021-06-29T21:51:00Z,SOL/USDT,34.696,34.735,34.693,34.719,875.052,30377.029114,109
1625003400000,2021-06-29T21:50:00Z,SOL/USDT,34.685,34.706,34.613,34.706,2191.588,75971.859984,142
1625003340000,2021-06-29T21:49:00Z,SOL/USDT,34.667,34.684,34.64,34.684,816.871,28317.691736,93
1625003280000,2021-06-29T21:48:00Z,SOL/USDT,34.629,34.673,34.624,34.658,1919.846,66530.140222,111
1625003220000,2021-06-29T21:47:00Z,SOL/USDT,34.616,34.65,34.606,34.625,884.904,30642.118294,65
1625003160000,2021-06-29T21:46:00Z,SOL/USDT,34.572,34.65,34.564,34.602,1913.222,66204.80037,149
1625003100000,2021-06-29T21:45:00Z,SOL/USDT,34.591,34.626,34.516,34.561,2288.793,79154.154353,188
1625003040000,2021-06-29T21:44:00Z,SOL/USDT,34.556,34.615,34.541,34.605,752.807,26037.599186,67
1625002980000,2021-06-29T21:43:00Z,SOL/USDT,34.579,34.6,34.5,34.561,2446.318,84519.096308,171
1625002920000,2021-06-29T21:42:00Z,SOL/USDT,34.555,34.59,34.554,34.579,444.235,15358.695672,83
1625002860000,2021-06-29T21:41:00Z,SOL/USDT,34.511,34.567,34.51,34.567,1348.252,46578.04796,90
1625002800000,2021-06-29T21:40:00Z,SOL/USDT,34.481,34.538,34.471,34.522,1779.165,61369.165727,58
1625002740000,2021-06-29T21:39:00Z,SOL/USDT,34.535,34.536,34.481,34.483,1061.759,36636.763402,102
1625002680000,2021-06-29T21:38:00Z,SOL/USDT,34.517,34.536,34.517,34.525,282.661,9759.78944,44
1625002620000,2021-06-29T21:37:00Z,SOL/USDT,34.525,34.53,34.51,34.511,406.184,14019.8135,43
1625002560000,2021-06-29T21:36:00Z,SOL/USDT,34.467,34.537,34.467,34.51,1478.273,50996.452308,74
1625002500000,2021-06-29T21:35:00Z,SOL/USDT,34.434,34.47,34.432,34.467,676.902,23315.678516,48
1625002440000,2021-06-29T21:34:00Z,SOL/USDT,34.47,34.47,34.414,34.433,1076.021,37063.342065,76
1625002380000,2021-06-29T21:33:00Z,SOL/USDT,34.527,34.532,34.47,34.47,5983.691,206425.433687,122
1625002320000,2021-06-29T21:32:00Z,SOL/USDT,34.458,34.54,34.455,34.527,3930.431,135641.127788,243
1625002260000,2021-06-29T21:31:00Z,SOL/USDT,34.398,34.458,34.398,34.455,881.723,30359.97452,83
1625002200000,2021-06-29T21:30:00Z,SOL/USDT,34.363,34.408,34.347,34.393,4958.756,170501.232041,89
1625002140000,2021-06-29T21:29:00Z,SOL/USDT,34.416,34.42,34.347,34.366,691.999,23797.885634,63
1625002080000,2021-06-29T21:28:00Z,SOL/USDT,34.391,34.421,34.389,34.416,3931.774,135240.106881,309
1625002020000,2021-06-29T21:27:00Z,SOL/USDT,34.386,34.391,34.382,34.391,2564.112,88174.962256,258
1625001960000,2021-06-29T21:26:00Z,SOL/USDT,34.369,34.386,34.355,34.386,2260.776,77723.87917,297
1625001900000,2021-06-29T21:25:00Z,SOL/USDT,34.411,34.419,34.336,34.37,4859.389,167095.352541,196
1625001840000,2021-06-29T21:24:00Z,SOL/USDT,34.408,34.42,34.402,34.403,1009.62,34740.260846,68
1625001780000,2021-06-29T21:23:00Z,SOL/USDT,34.42,34.42,34.4,34.408,386.416,13296.215501,53
1625001720000,2021-06-29T21:22:00Z,SOL/USDT,34.402,34.426,34.4,34.42,515.503,17739.047942,89
1625001660000,2021-06-29T21:21:00Z,SOL/USDT,34.355,34.416,34.355,34.399,1211.481,41665.018876,105
1625001600000,2021-06-29T21:20:00Z,SOL/USDT,34.331,34.362,34.33,34.356,931.348,31991.012317,67
1625001540000,2021-06-29T21:19:00Z,SOL/USDT,34.33,34.349,34.32,34.337,330.793,11357.295258,47
1625001480000,2021-06-29T21:18:00Z,SOL/USDT,34.329,34.337,34.318,34.33,269.242,9242.821789,44
1625001420000,2021-06-29T21:17:00Z,SOL/USDT,34.303,34.335,34.296,34.33,704.254,24166.302045,63
1625001360000,2021-06-29T21:16:00Z,SOL/USDT,34.289,34.306,34.255,34.297,3089.984,105920.486096,128
1625001300000,2021-06-29T21:15:00Z,SOL/USDT,34.211,34.303,34.143,34.289,2706.221,92634.74342,244
1625001240000,2021-06-29T21:14:00Z,SOL/USDT,34.281,34.289,34.205,34.217,1359.206,46563.509488,102
1625001180000,2021-06-29T21:13:00Z,SOL/USDT,34.321,34.321,34.252,34.28,876.412,30033.755022,87
1625001120000,2021-06-29T21:12:00Z,SOL/USDT,34.313,34.342,34.297,34.313,338.026,11601.247917,49
1625001060000,2021-06-29T21:11:00Z,SOL/USDT,34.274,34.336,34.245,34.313,3229.582,110735.381679,111
1625001000000,2021-06-29T21:10:00Z,SOL/USDT,34.262,34.298,34.206,34.287,6017.648,206134.634854,184
