unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,UNI/USDT,18.86,18.882,18.859,18.871,232.423,4387.218375,25
1625003880000,2021-06-29T21:58:00Z,UNI/USDT,18.885,18.894,18.859,18.868,314.544,5936.595145,39
1625003820000,2021-06-29T21:57:00Z,UNI/USDT,18.872,18.897,18.871,18.875,200.85,3792.491967,29
1625003760000,2021-06-29T21:56:00Z,UNI/USDT,18.909,18.92,18.874,18.874,486.424,9193.029346,45
1625003700000,2021-06-29T21:55:00Z,UNI/USDT,18.909,18.922,18.909,18.912,614.752,11630.949258,22
1625003640000,2021-06-29T21:54:00Z,UNI/USDT,18.912,18.933,18.888,18.919,1124.688,21257.101763,58
1625003580000,2021-06-29T21:53:00Z,UNI/USDT,18.908,18.939,18.896,18.913,729.329,13802.481777,72
1625003520000,2021-06-29T21:52:00Z,UNI/USDT,18.892,18.924,18.888,18.912,915.936,17322.033465,63
1625003460000,2021-06-29T21:51:00Z,UNI/USDT,18.891,18.912,18.89,18.906,75.935,1434.708141,13
1625003400000,2021-06-29T21:50:00Z,UNI/USDT,18.888,18.914,18.873,18.876,594.418,11228.077691,53
1625003340000,2021-06-29T21:49:00Z,UNI/USDT,18.891,18.899,18.875,18.892,100.715,1902.454664,25
1625003280000,2021-06-29T21:48:00Z,UNI/USDT,18.874,18.887,18.871,18.885,84.255,1590.851758,11
1625003220000,2021-06-29T21:47:00Z,UNI/USDT,18.868,18.889,18.862,18.866,94.976,1792.571137,22
1625003160000,2021-06-29T21:46:00Z,UNI/USDT,18.869,18.888,18.847,18.869,895.224,16883.08665,70
1625003100000,2021-06-29T21:45:00Z,UNI/USDT,18.862,18.876,18.807,18.859,909.987,17158.006901,83
1625003040000,2021-06-29T21:44:00Z,UNI/USDT,18.819,18.876,18.798,18.862,790.146,14887.770238,109
1625002980000,2021-06-29T21:43:00Z,UNI/USDT,18.83,18.85,18.759,18.824,2318.847,43618.908724,168
1625002920000,2021-06-29T21:42:00Z,UNI/USDT,18.819,18.837,18.818,18.836,234.146,4408.389817,92
1625002860000,2021-06-29T21:41:00Z,UNI/USDT,18.807,18.827,18.801,18.823,357.75,6729.482896,134
1625002800000,2021-06-29T21:40:00Z,UNI/USDT,18.785,18.81,18.777,18.807,970.097,18228.097925,42
1625002740000,2021-06-29T21:39:00Z,UNI/USDT,18.769,18.799,18.769,18.794,628.886,11813.555236,103
1625002680000,2021-06-29T21:38:00Z,UNI/USDT,18.765,18.767,18.761,18.767,681.459,12785.584757,27
1625002620000,2021-06-29T21:37:00Z,UNI/USDT,18.74,18.767,18.738,18.766,297.888,5584.515775,58
1625002560000,2021-06-29T21:36:00Z,UNI/USDT,18.683,18.745,18.683,18.741,8176.986,153031.766217,198
1625002500000,2021-06-29T21:35:00Z,UNI/USDT,18.678,18.689,18.678,18.686,51.337,959.200502,15
1625002440000,2021-06-29T21:34:00Z,UNI/USDT,18.677,18.682,18.672,18.679,307.72,5747.159362,27
1625002380000,2021-06-29T21:33:00Z,UNI/USDT,18.685,18.688,18.672,18.678,2155.705,40265.997724,138
1625002320000,2021-06-29T21:32:00Z,UNI/USDT,18.684,18.689,18.68,18.686,717.592,13408.153151,34
1625002260000,2021-06-29T21:31:00Z,UNI/USDT,18.671,18.688,18.669,18.687,595.866,11127.50836,75
1625002200000,2021-06-29T21:30:00Z,UNI/USDT,18.675,18.675,18.669,18.672,886.997,16561.85896,51
1625002140000,2021-06-29T21:29:00Z,UNI/USDT,18.674,18.675,18.672,18.675,563.373,10520.358416,22
1625002080000,2021-06-29T21:28:00Z,UNI/USDT,18.676,18.678,18.671,18.677,234.287,4375.132702,40
1625002020000,2021-06-29T21:27:00Z,UNI/USDT,18.68,18.682,18.674,18.682,169.417,3164.307711,32
1625001960000,2021-06-29T21:26:00Z,UNI/USDT,18.649,18.688,18.649,18.687,1130.142,21106.039925,40
1625001900000,2021-06-29T21:25:00Z,UNI/USDT,18.685,18.689,18.643,18.643,1337.22,24958.446597,84
1625001840000,2021-06-29T21:24:00Z,UNI/USDT,18.687,18.689,18.681,18.681,202.325,3780.858665,21
1625001780000,2021-06-29T21:23:00Z,UNI/USDT,18.675,18.688,18.672,18.682,292.488,5464.865673,31
1625001720000,2021-06-29T21:22:00Z,UNI/USDT,18.67,18.681,18.666,18.677,88.489,1652.092586,20
1625001660000,2021-06-29T21:21:00Z,UNI/USDT,18.648,18.679,18.641,18.671,392.902,7333.633782,55
1625001600000,2021-06-29T21:20:00Z,UNI/USDT,18.628,18.648,18.62,18.648,720.286,13420.284236,35
1625001540000,2021-06-29T21:19:00Z,UNI/USDT,18.611,18.627,18.611,18.626,44.982,837.535235,7
1625001480000,2021-06-29T21:18:00Z,UNI/USDT,18.628,18.632,18.602,18.611,895.027,16664.133397,32
1625001420000,2021-06-29T21:17:00Z,UNI/USDT,18.622,18.629,18.619,18.629,118.001,2197.429039,27
1625001360000,2021-06-29T21:16:00Z,UNI/USDT,18.599,18.62,18.599,18.62,785.9,14622.613886,68
1625001300000,2021-06-29T21:15:00Z,UNI/USDT,18.55,18.603,18.519,18.599,1880.288,34870.441098,169
1625001240000,2021-06-29T21:14:00Z,UNI/USDT,18.57,18.572,18.55,18.555,205.163,3809.297459,40
1625001180000,2021-06-29T21:13:00Z,UNI/USDT,18.604,18.604,18.554,18.579,832.679,15476.025619,65
1625001120000,2021-06-29T21:12:00Z,UNI/USDT,18.614,18.624,18.606,18.611,388.182,7224.640604,32
1625001060000,2021-06-29T21:11:00Z,UNI/USDT,18.611,18.618,18.581,18.617,725.586,13500.481913,54
1625001000000,2021-06-29T21:10:00Z,UNI/USDT,18.578,18.617,18.535,18.617,9530.114,176789.447835,345
1625000940000,2021-06-29T21:09:00Z,UNI/USDT,18.602,18.602,18.573,18.573,564.099,10484.207648,76
1625000880000,2021-06-29T21:08:00Z,UNI/USDT,18.633,18.633,18.595,18.602,440.83,8205.013226,44
1625000820000,2021-06-29T21:07:00Z,UNI/USDT,18.636,18.644,18.625,18.636,696.605,12978.009364,64
1625000760000,2021-06-29T21:06:00Z,UNI/USDT,18.623,18.635,18.619,18.631,129.454,2411.131755,59
1625000700000,2021-06-29T21:05:00Z,UNI/USDT,18.586,18.628,18.586,18.628,1092.321,20326.302299,95
1625000640000,2021-06-29T21:04:00Z,UNI/USDT,18.615,18.615,18.582,18.584,418.915,7788.41536,98
1625000580000,2021-06-29T21:03:00Z,UNI/USDT,18.622,18.669,18.608,18.616,17197.788,320507.172212,379
1625000520000,2021-06-29T21:02:00Z,UNI/USDT,18.593,18.63,18.591,18.614,1327.357,24697.273838,109
1625000460000,2021-06-29T21:01:00Z,UNI/USDT,18.597,18.633,18.585,18.589,1302.51,24234.996315,172
1625000400000,2021-06-29T21:00:00Z,UNI/USDT,18.637,18.7,18.579,18.59,4347.39,81002.20406,277
1625000340000,2021-06-29T20:59:00Z,UNI/USDT,18.635,18.667,18.592,18.638,7984.542,148612.495497,405
1625000280000,2021-06-29T20:58:00Z,UNI/USDT,18.691,18.698,18.63,18.635,2704.461,50440.129599,148
1625000220000,2021-06-29T20:57:00Z,UNI/USDT,18.674,18.698,18.665,18.693,336.705,6290.350528,61
1625000160000,2021-06-29T20:56:00Z,UNI/USDT,18.712,18.725,18.647,18.664,3531.939,65935.625709,187
