unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1625003940000,2021-06-29T21:59:00Z,XRP/USDT,0.7166,0.7174,0.7166,0.717,133940.76,96013.214194,121
1625003880000,2021-06-29T21:58:00Z,XRP/USDT,0.7166,0.7176,0.7165,0.7167,178178.09,127759.768484,147
1625003820000,2021-06-29T21:57:00Z,XRP/USDT,0.7153,0.7166,0.7151,0.7166,185808.29,133013.126677,171
1625003760000,2021-06-29T21:56:00Z,XRP/USDT,0.7166,0.7172,0.7153,0.7154,271014.73,194192.067549,210
1625003700000,2021-06-29T21:55:00Z,XRP/USDT,0.7174,0.7175,0.7164,0.7166,116624.04,83602.6489,108
1625003640000,2021-06-29T21:54:00Z,XRP/USDT,0.7163,0.7178,0.7163,0.7173,252725.32,181244.250639,182
1625003580000,2021-06-29T21:53:00Z,XRP/USDT,0.7159,0.7176,0.7152,0.7164,714130.36,511683.223969,342
1625003520000,2021-06-29T21:52:00Z,XRP/USDT,0.7147,0.7166,0.7147,0.716,493527.18,353082.041802,346
1625003460000,2021-06-29T21:51:00Z,XRP/USDT,0.714,0.7148,0.7139,0.7146,159664.95,114052.623781,129
1625003400000,2021-06-29T21:50:00Z,XRP/USDT,0.714,0.7144,0.713,0.7139,493719.67,352378.020308,153
1625003340000,2021-06-29T21:49:00Z,XRP/USDT,0.7134,0.7141,0.7133,0.7141,264970.15,189087.122093,167
1625003280000,2021-06-29T21:48:00Z,XRP/USDT,0.7134,0.7138,0.7131,0.7134,397919.49,283879.500111,141
1625003220000,2021-06-29T21:47:00Z,XRP/USDT,0.7132,0.7135,0.713,0.7134,94501.5,67412.269154,103
1625003160000,2021-06-29T21:46:00Z,XRP/USDT,0.7132,0.7143,0.7131,0.7134,281542.46,200945.455273,146
1625003100000,2021-06-29T21:45:00Z,XRP/USDT,0.7135,0.714,0.7122,0.7132,610493.83,435406.354114,244
1625003040000,2021-06-29T21:44:00Z,XRP/USDT,0.7122,0.7142,0.7121,0.7136,207213.87,147809.052576,176
1625002980000,2021-06-29T21:43:00Z,XRP/USDT,0.7135,0.7135,0.7105,0.7121,639186.82,455263.126018,286
1625002920000,2021-06-29T21:42:00Z,XRP/USDT,0.713,0.7135,0.7129,0.7134,161412.78,115115.238338,93
1625002860000,2021-06-29T21:41:00Z,XRP/USDT,0.7127,0.713,0.7127,0.713,626560.8,446730.929025,171
1625002800000,2021-06-29T21:40:00Z,XRP/USDT,0.7115,0.7128,0.7114,0.7127,207724.05,147934.097905,148
1625002740000,2021-06-29T21:39:00Z,XRP/USDT,0.7111,0.7115,0.7109,0.7115,98650.45,70158.635339,96
1625002680000,2021-06-29T21:38:00Z,XRP/USDT,0.711,0.7111,0.7109,0.711,68982.1,49048.413066,70
1625002620000,2021-06-29T21:37:00Z,XRP/USDT,0.7109,0.7112,0.7108,0.711,57416.52,40825.416369,69
1625002560000,2021-06-29T21:36:00Z,XRP/USDT,0.7105,0.7111,0.7103,0.7109,156990.7,111568.509289,137
1625002500000,2021-06-29T21:35:00Z,XRP/USDT,0.7112,0.7113,0.7103,0.7106,99053.27,70406.252769,108
1625002440000,2021-06-29T21:34:00Z,XRP/USDT,0.7113,0.7114,0.7112,0.7112,135142.36,96117.482206,80
1625002380000,2021-06-29T21:33:00Z,XRP/USDT,0.7114,0.7116,0.7113,0.7113,70182.44,49929.724874,81
1625002320000,2021-06-29T21:32:00Z,XRP/USDT,0.7108,0.7115,0.7108,0.7114,70551.37,50166.190395,76
1625002260000,2021-06-29T21:31:00Z,XRP/USDT,0.7116,0.7118,0.7106,0.7108,186119.39,132380.890651,161
1625002200000,2021-06-29T21:30:00Z,XRP/USDT,0.7117,0.7118,0.7116,0.7116,41061.27,29224.432338,68
1625002140000,2021-06-29T21:29:00Z,XRP/USDT,0.7119,0.7124,0.7117,0.7117,228103.93,162420.902559,144
1625002080000,2021-06-29T21:28:00Z,XRP/USDT,0.712,0.7122,0.7119,0.712,61321.35,43663.152998,75
1625002020000,2021-06-29T21:27:00Z,XRP/USDT,0.7122,0.7123,0.7117,0.712,119540.02,85129.16198,129
1625001960000,2021-06-29T21:26:00Z,XRP/USDT,0.7113,0.7122,0.7109,0.7121,170550.96,121355.470737,117
1625001900000,2021-06-29T21:25:00Z,XRP/USDT,0.7115,0.7116,0.7105,0.7113,223296.54,158784.419605,194
1625001840000,2021-06-29T21:24:00Z,XRP/USDT,0.7116,0.7116,0.7114,0.7115,104148.53,74103.049697,101
1625001780000,2021-06-29T21:23:00Z,XRP/USDT,0.7115,0.7118,0.7114,0.7116,144425.6,102763.17559,110
1625001720000,2021-06-29T21:22:00Z,XRP/USDT,0.7112,0.7116,0.711,0.7115,202100.64,143768.740675,164
1625001660000,2021-06-29T21:21:00Z,XRP/USDT,0.7109,0.7113,0.7106,0.7113,113103.58,80417.347571,112
1625001600000,2021-06-29T21:20:00Z,XRP/USDT,0.7106,0.7109,0.7103,0.7108,148773.59,105712.8802,144
1625001540000,2021-06-29T21:19:00Z,XRP/USDT,0.7104,0.7107,0.7101,0.7107,132553.74,94159.926599,115
1625001480000,2021-06-29T21:18:00Z,XRP/USDT,0.7108,0.7109,0.7104,0.7105,63963.48,45457.541936,92
1625001420000,2021-06-29T21:17:00Z,XRP/USDT,0.711,0.711,0.7103,0.7108,130821.63,92962.931252,102
1625001360000,2021-06-29T21:16:00Z,XRP/USDT,0.7104,0.7111,0.7104,0.7109,109372.41,77742.566785,178
1625001300000,2021-06-29T21:15:00Z,XRP/USDT,0.709,0.7105,0.7086,0.7105,268901.21,190839.698713,236
1625001240000,2021-06-29T21:14:00Z,XRP/USDT,0.709,0.7092,0.7089,0.7089,90545.09,64199.66639,134
1625001180000,2021-06-29T21:13:00Z,XRP/USDT,0.7105,0.7105,0.709,0.7091,195092.52,138479.880172,172
1625001120000,2021-06-29T21:12:00Z,XRP/USDT,0.7104,0.7108,0.7103,0.7105,53817.93,38242.582176,80
1625001060000,2021-06-29T21:11:00Z,XRP/USDT,0.7109,0.7109,0.7097,0.7104,342588.84,243403.598706,240
1625001000000,2021-06-29T21:10:00Z,XRP/USDT,0.7089,0.7115,0.7088,0.711,974922.78,692532.371792,391
1625000940000,2021-06-29T21:09:00Z,XRP/USDT,0.71,0.71,0.7089,0.7089,367154.07,260466.615252,228
1625000880000,2021-06-29T21:08:00Z,XRP/USDT,0.7106,0.7106,0.7099,0.7101,84350.66,59905.075087,88
1625000820000,2021-06-29T21:07:00Z,XRP/USDT,0.7107,0.7108,0.71,0.7106,175215.31,124473.825643,113
1625000760000,2021-06-29T21:06:00Z,XRP/USDT,0.7101,0.7109,0.7098,0.7106,298392.28,211961.162844,160
1625000700000,2021-06-29T21:05:00Z,XRP/USDT,0.7087,0.7108,0.7086,0.71,222497.42,157899.524785,193
1625000640000,2021-06-29T21:04:00Z,XRP/USDT,0.7102,0.7103,0.7085,0.7087,197080.35,139799.90557,203
1625000580000,2021-06-29T21:03:00Z,XRP/USDT,0.7096,0.7108,0.7096,0.7102,112648.35,80010.537813,173
1625000520000,2021-06-29T21:02:00Z,XRP/USDT,0.7083,0.7103,0.7083,0.7098,334230.16,237157.199399,264
1625000460000,2021-06-29T21:01:00Z,XRP/USDT,0.7082,0.7095,0.7074,0.7084,728200.2,515878.552697,347
1625000400000,2021-06-29T21:00:00Z,XRP/USDT,0.7074,0.7095,0.7074,0.7082,323387.01,229091.551435,320
1625000340000,2021-06-29T20:59:00Z,XRP/USDT,0.7073,0.7082,0.7067,0.7075,369225.17,261136.411392,294
1625000280000,2021-06-29T20:58:00Z,XRP/USDT,0.708,0.7086,0.7072,0.7074,171305.91,121265.637846,184
1625000220000,2021-06-29T20:57:00Z,XRP/USDT,0.7074,0.7083,0.707,0.7081,406787.1,287761.994244,281
1625000160000,2021-06-29T20:56:00Z,XRP/USDT,0.7092,0.7095,0.7072,0.7074,471869.22,334073.282653,366
1625000100000,2021-06-29T20:55:00Z,XRP/USDT,0.71,0.7106,0.708,0.7092,467940.2,331880.020076,414
1625000040000,2021-06-29T20:54:00Z,XRP/USDT,0.7094,0.7111,0.7093,0.7099,385601.83,273838.330345,286
1624999980000,2021-06-29T20:53:00Z,XRP/USDT,0.7107,0.7108,0.7091,0.7094,625442.73,443919.976864,568
